nickname,date,attempt,trial,score,time,repetitions,time_limit,sequence_length,settings_code
andre_test,20260506,1,1,36,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,2,37,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,3,45,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,4,49,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,5,45,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,6,48,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,7,55,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,8,50,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,9,37,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,1,10,60,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,1,31,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,2,33,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,3,39,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,4,39,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,5,48,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,6,49,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,7,52,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,8,54,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,9,44,20000,10,20000,10,rep10tim20000seq10
andre_test,20260506,2,10,53,20000,10,20000,10,rep10tim20000seq10
