nickname,date,attempt,trial,score,time,repetitions,drift_force,circle_size,time_limit,settings_code
andre_test,20260506,1,1,34.630835822005686,5012,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,2,31.851681592998847,5007,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,3,45.51370149253829,5011,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,4,56.07132338381534,5014,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,5,57.80683582089613,5004,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,6,55.712437811637926,5020,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,7,67.9078208955233,5016,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,8,34.67357214037545,5005,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,9,64.98432835934085,5010,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,1,10,53.98616915457395,5013,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,1,28.611940299218723,5015,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,2,34.525333333333776,5020,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,3,34.81430845771162,5009,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,4,43.391791044775346,5013,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,5,59.77741293693565,5021,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,6,46.17555223985273,5009,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,7,41.8388059708427,5015,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,8,28.724019901655108,5004,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,9,45.89840796150037,5005,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,2,10,46.86367164251669,5017,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,1,33.79655721393178,5007,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,2,39.0029850746277,5017,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,3,35.240716419162446,5005,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,4,75.46308457801763,5012,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,5,62.15605970149386,5017,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,6,76.3188059710243,5020,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,7,69.29984079766206,5012,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,8,71.57576119403082,5016,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,9,59.848746270183696,5006,10,3,1,5000,rep10dri3cir1tim5000
andre_test,20260506,3,10,85.62346268656641,4944,10,3,1,5000,rep10dri3cir1tim5000
